contest_type,contest_id,problem_index,name,point,,task_screen_name
AtCoder Beginner Contest,ABC381,A,A. 11/22 String,100,https://atcoder.jp/contests/abc381/tasks/abc381_a,abc381_a
AtCoder Beginner Contest,ABC380,A,A. 123233,100,https://atcoder.jp/contests/abc380/tasks/abc380_a,abc380_a
AtCoder Beginner Contest,ABC379,A,A. Cyclic,100,https://atcoder.jp/contests/abc379/tasks/abc379_a,abc379_a
AtCoder Beginner Contest,ABC378,A,A. Pairing,100,https://atcoder.jp/contests/abc378/tasks/abc378_a,abc378_a
AtCoder Beginner Contest,ABC377,A,A. Rearranging ABC,100,https://atcoder.jp/contests/abc377/tasks/abc377_a,abc377_a
AtCoder Beginner Contest,ABC376,A,A. Candy Button,100,https://atcoder.jp/contests/abc376/tasks/abc376_a,abc376_a
AtCoder Beginner Contest,ABC375,A,A. Seats,100,https://atcoder.jp/contests/abc375/tasks/abc375_a,abc375_a
AtCoder Beginner Contest,ABC374,A,A. Takahashi san 2,100,https://atcoder.jp/contests/abc374/tasks/abc374_a,abc374_a
AtCoder Beginner Contest,ABC373,A,A. September,100,https://atcoder.jp/contests/abc373/tasks/abc373_a,abc373_a
AtCoder Beginner Contest,ABC372,A,A. delete .,100,https://atcoder.jp/contests/abc372/tasks/abc372_a,abc372_a
AtCoder Beginner Contest,ABC371,A,A. Jiro,100,https://atcoder.jp/contests/abc371/tasks/abc371_a,abc371_a
AtCoder Beginner Contest,ABC370,A,A. Raise Both Hands,100,https://atcoder.jp/contests/abc370/tasks/abc370_a,abc370_a
AtCoder Beginner Contest,ABC369,A,A. 369,100,https://atcoder.jp/contests/abc369/tasks/abc369_a,abc369_a
AtCoder Beginner Contest,ABC368,A,A. Cut,100,https://atcoder.jp/contests/abc368/tasks/abc368_a,abc368_a
AtCoder Beginner Contest,ABC367,A,A. Shout Everyday,100,https://atcoder.jp/contests/abc367/tasks/abc367_a,abc367_a
AtCoder Beginner Contest,ABC366,A,A. Election 2,100,https://atcoder.jp/contests/abc366/tasks/abc366_a,abc366_a
AtCoder Beginner Contest,ABC365,A,A. Leap Year,100,https://atcoder.jp/contests/abc365/tasks/abc365_a,abc365_a
AtCoder Beginner Contest,ABC364,A,A. Glutton Takahashi,100,https://atcoder.jp/contests/abc364/tasks/abc364_a,abc364_a
AtCoder Beginner Contest,ABC363,A,A. Piling Up,100,https://atcoder.jp/contests/abc363/tasks/abc363_a,abc363_a
AtCoder Beginner Contest,ABC362,A,A. Buy a Pen,100,https://atcoder.jp/contests/abc362/tasks/abc362_a,abc362_a
AtCoder Beginner Contest,ABC361,A,A. Insert,100,https://atcoder.jp/contests/abc361/tasks/abc361_a,abc361_a
AtCoder Beginner Contest,ABC360,A,A. A Healthy Breakfast,100,https://atcoder.jp/contests/abc360/tasks/abc360_a,abc360_a
AtCoder Beginner Contest,ABC359,A,A. Count Takahashi,100,https://atcoder.jp/contests/abc359/tasks/abc359_a,abc359_a
AtCoder Beginner Contest,ABC358,A,A. Welcome to AtCoder Land,100,https://atcoder.jp/contests/abc358/tasks/abc358_a,abc358_a
AtCoder Beginner Contest,ABC357,A,A. Sanitize Hands,100,https://atcoder.jp/contests/abc357/tasks/abc357_a,abc357_a
AtCoder Beginner Contest,ABC356,A,A. Subsegment Reverse,100,https://atcoder.jp/contests/abc356/tasks/abc356_a,abc356_a
AtCoder Beginner Contest,ABC355,A,A. Who Ate the Cake?,100,https://atcoder.jp/contests/abc355/tasks/abc355_a,abc355_a
AtCoder Beginner Contest,ABC354,A,A. Exponential Plant,100,https://atcoder.jp/contests/abc354/tasks/abc354_a,abc354_a
AtCoder Beginner Contest,ABC353,A,A. Buildings,100,https://atcoder.jp/contests/abc353/tasks/abc353_a,abc353_a
AtCoder Beginner Contest,ABC352,A,A. AtCoder Line,100,https://atcoder.jp/contests/abc352/tasks/abc352_a,abc352_a
AtCoder Beginner Contest,ABC351,A,A. The bottom of the ninth,100,https://atcoder.jp/contests/abc351/tasks/abc351_a,abc351_a
AtCoder Beginner Contest,ABC350,A,A. Past ABCs,100,https://atcoder.jp/contests/abc350/tasks/abc350_a,abc350_a
AtCoder Beginner Contest,ABC349,A,A. Zero Sum Game,100,https://atcoder.jp/contests/abc349/tasks/abc349_a,abc349_a
AtCoder Beginner Contest,ABC348,A,A. Penalty Kick,100,https://atcoder.jp/contests/abc348/tasks/abc348_a,abc348_a
AtCoder Beginner Contest,ABC347,A,A. Divisible,100,https://atcoder.jp/contests/abc347/tasks/abc347_a,abc347_a
AtCoder Beginner Contest,ABC346,A,A. Adjacent Product,100,https://atcoder.jp/contests/abc346/tasks/abc346_a,abc346_a
AtCoder Beginner Contest,ABC345,A,A. Leftrightarrow,100,https://atcoder.jp/contests/abc345/tasks/abc345_a,abc345_a
AtCoder Beginner Contest,ABC344,A,A. Spoiler,100,https://atcoder.jp/contests/abc344/tasks/abc344_a,abc344_a
AtCoder Beginner Contest,ABC343,A,A. Wrong Answer,100,https://atcoder.jp/contests/abc343/tasks/abc343_a,abc343_a
AtCoder Beginner Contest,ABC342,A,A. Yay!,100,https://atcoder.jp/contests/abc342/tasks/abc342_a,abc342_a
AtCoder Beginner Contest,ABC341,A,A. Print 341,100,https://atcoder.jp/contests/abc341/tasks/abc341_a,abc341_a
AtCoder Beginner Contest,ABC340,A,A. Arithmetic Progression,100,https://atcoder.jp/contests/abc340/tasks/abc340_a,abc340_a
AtCoder Beginner Contest,ABC339,A,A. TLD,100,https://atcoder.jp/contests/abc339/tasks/abc339_a,abc339_a
AtCoder Beginner Contest,ABC338,A,A. Capitalized?,100,https://atcoder.jp/contests/abc338/tasks/abc338_a,abc338_a
AtCoder Beginner Contest,ABC337,A,A. Scoreboard,100,https://atcoder.jp/contests/abc337/tasks/abc337_a,abc337_a
AtCoder Beginner Contest,ABC336,A,A. Long Loong,100,https://atcoder.jp/contests/abc336/tasks/abc336_a,abc336_a
AtCoder Beginner Contest,ABC335,A,A. 202<s>3</s>,100,https://atcoder.jp/contests/abc335/tasks/abc335_a,abc335_a
AtCoder Beginner Contest,ABC334,A,A. Christmas Present,100,https://atcoder.jp/contests/abc334/tasks/abc334_a,abc334_a
AtCoder Beginner Contest,ABC333,A,A. Three Threes,100,https://atcoder.jp/contests/abc333/tasks/abc333_a,abc333_a
AtCoder Beginner Contest,ABC332,A,A. Online Shopping,100,https://atcoder.jp/contests/abc332/tasks/abc332_a,abc332_a
AtCoder Beginner Contest,ABC331,A,A. Tomorrow,100,https://atcoder.jp/contests/abc331/tasks/abc331_a,abc331_a
AtCoder Beginner Contest,ABC330,A,A. Counting Passes,100,https://atcoder.jp/contests/abc330/tasks/abc330_a,abc330_a
AtCoder Beginner Contest,ABC329,A,A. Spread,100,https://atcoder.jp/contests/abc329/tasks/abc329_a,abc329_a
AtCoder Beginner Contest,ABC328,A,A. Not Too Hard,100,https://atcoder.jp/contests/abc328/tasks/abc328_a,abc328_a
AtCoder Beginner Contest,ABC327,A,A. ab,100,https://atcoder.jp/contests/abc327/tasks/abc327_a,abc327_a
AtCoder Beginner Contest,ABC326,A,A. 2UP3DOWN,100,https://atcoder.jp/contests/abc326/tasks/abc326_a,abc326_a
AtCoder Beginner Contest,ABC325,A,A. Takahashi san,100,https://atcoder.jp/contests/abc325/tasks/abc325_a,abc325_a
AtCoder Beginner Contest,ABC324,A,A. Same,100,https://atcoder.jp/contests/abc324/tasks/abc324_a,abc324_a
AtCoder Beginner Contest,ABC323,A,A. Weak Beats,100,https://atcoder.jp/contests/abc323/tasks/abc323_a,abc323_a
AtCoder Beginner Contest,ABC322,A,A. First ABC 2,100,https://atcoder.jp/contests/abc322/tasks/abc322_a,abc322_a
AtCoder Beginner Contest,ABC321,A,A. 321-like Checker,100,https://atcoder.jp/contests/abc321/tasks/abc321_a,abc321_a
AtCoder Beginner Contest,ABC320,A,A. Leyland Number,100,https://atcoder.jp/contests/abc320/tasks/abc320_a,abc320_a
AtCoder Beginner Contest,ABC319,A,A. Legendary Players,100,https://atcoder.jp/contests/abc319/tasks/abc319_a,abc319_a
AtCoder Beginner Contest,ABC318,A,A. Full Moon,100,https://atcoder.jp/contests/abc318/tasks/abc318_a,abc318_a
AtCoder Beginner Contest,ABC317,A,A. Potions,100,https://atcoder.jp/contests/abc317/tasks/abc317_a,abc317_a
AtCoder Beginner Contest,ABC316,A,,100,https://atcoder.jp/contests/abc316/tasks/abc316_a,abc316_a
AtCoder Beginner Contest,ABC315,A,A. tcdr,100,https://atcoder.jp/contests/abc315/tasks/abc315_a,abc315_a
AtCoder Beginner Contest,ABC314,A,A. 3.14,100,https://atcoder.jp/contests/abc314/tasks/abc314_a,abc314_a
AtCoder Beginner Contest,ABC313,A,A. To Be Saikyo,100,https://atcoder.jp/contests/abc313/tasks/abc313_a,abc313_a
AtCoder Beginner Contest,ABC312,A,A. Chord,100,https://atcoder.jp/contests/abc312/tasks/abc312_a,abc312_a
AtCoder Beginner Contest,ABC311,A,A. First ABC,100,https://atcoder.jp/contests/abc311/tasks/abc311_a,abc311_a
AtCoder Beginner Contest,ABC310,A,A. Order Something Else,100,https://atcoder.jp/contests/abc310/tasks/abc310_a,abc310_a
AtCoder Beginner Contest,ABC309,A,A. Nine,100,https://atcoder.jp/contests/abc309/tasks/abc309_a,abc309_a
AtCoder Beginner Contest,ABC308,A,A. New Scheme,100,https://atcoder.jp/contests/abc308/tasks/abc308_a,abc308_a
AtCoder Beginner Contest,ABC307,A,A. Weekly Records,100,https://atcoder.jp/contests/abc307/tasks/abc307_a,abc307_a
AtCoder Beginner Contest,ABC306,A,A. Echo,100,https://atcoder.jp/contests/abc306/tasks/abc306_a,abc306_a
AtCoder Beginner Contest,ABC305,A,A. Water Station,100,https://atcoder.jp/contests/abc305/tasks/abc305_a,abc305_a
AtCoder Beginner Contest,ABC304,A,A. First Player,100,https://atcoder.jp/contests/abc304/tasks/abc304_a,abc304_a
AtCoder Beginner Contest,ABC303,A,A. Similar String,100,https://atcoder.jp/contests/abc303/tasks/abc303_a,abc303_a
AtCoder Beginner Contest,ABC302,A,A. Attack,100,https://atcoder.jp/contests/abc302/tasks/abc302_a,abc302_a
AtCoder Beginner Contest,ABC301,A,A. Overall Winner,100,https://atcoder.jp/contests/abc301/tasks/abc301_a,abc301_a
AtCoder Beginner Contest,ABC300,A,A. N-choice question,100,https://atcoder.jp/contests/abc300/tasks/abc300_a,abc300_a
AtCoder Beginner Contest,ABC299,A,,100,https://atcoder.jp/contests/abc299/tasks/abc299_a,abc299_a
AtCoder Beginner Contest,ABC298,A,,100,https://atcoder.jp/contests/abc298/tasks/abc298_a,abc298_a
AtCoder Beginner Contest,ABC297,A,,100,https://atcoder.jp/contests/abc297/tasks/abc297_a,abc297_a
AtCoder Beginner Contest,ABC296,A,,100,https://atcoder.jp/contests/abc296/tasks/abc296_a,abc296_a
AtCoder Beginner Contest,ABC295,A,,100,https://atcoder.jp/contests/abc295/tasks/abc295_a,abc295_a
AtCoder Beginner Contest,ABC294,A,,100,https://atcoder.jp/contests/abc294/tasks/abc294_a,abc294_a
AtCoder Beginner Contest,ABC293,A,,100,https://atcoder.jp/contests/abc293/tasks/abc293_a,abc293_a
AtCoder Beginner Contest,ABC292,A,,100,https://atcoder.jp/contests/abc292/tasks/abc292_a,abc292_a
AtCoder Beginner Contest,ABC291,A,,100,https://atcoder.jp/contests/abc291/tasks/abc291_a,abc291_a
AtCoder Beginner Contest,ABC290,A,,100,https://atcoder.jp/contests/abc290/tasks/abc290_a,abc290_a
AtCoder Beginner Contest,ABC289,A,,100,https://atcoder.jp/contests/abc289/tasks/abc289_a,abc289_a
AtCoder Beginner Contest,ABC288,A,,100,https://atcoder.jp/contests/abc288/tasks/abc288_a,abc288_a
AtCoder Beginner Contest,ABC287,A,,100,https://atcoder.jp/contests/abc287/tasks/abc287_a,abc287_a
AtCoder Beginner Contest,ABC286,A,,100,https://atcoder.jp/contests/abc286/tasks/abc286_a,abc286_a
AtCoder Beginner Contest,ABC285,A,,100,https://atcoder.jp/contests/abc285/tasks/abc285_a,abc285_a
AtCoder Beginner Contest,ABC284,A,,100,https://atcoder.jp/contests/abc284/tasks/abc284_a,abc284_a
AtCoder Beginner Contest,ABC283,A,,100,https://atcoder.jp/contests/abc283/tasks/abc283_a,abc283_a
AtCoder Beginner Contest,ABC282,A,,100,https://atcoder.jp/contests/abc282/tasks/abc282_a,abc282_a
AtCoder Beginner Contest,ABC281,A,,100,https://atcoder.jp/contests/abc281/tasks/abc281_a,abc281_a
AtCoder Beginner Contest,ABC280,A,,100,https://atcoder.jp/contests/abc280/tasks/abc280_a,abc280_a
AtCoder Beginner Contest,ABC279,A,,100,https://atcoder.jp/contests/abc279/tasks/abc279_a,abc279_a
AtCoder Beginner Contest,ABC278,A,,100,https://atcoder.jp/contests/abc278/tasks/abc278_a,abc278_a
AtCoder Beginner Contest,ABC277,A,,100,https://atcoder.jp/contests/abc277/tasks/abc277_a,abc277_a
AtCoder Beginner Contest,ABC276,A,,100,https://atcoder.jp/contests/abc276/tasks/abc276_a,abc276_a
AtCoder Beginner Contest,ABC275,A,,100,https://atcoder.jp/contests/abc275/tasks/abc275_a,abc275_a
AtCoder Beginner Contest,ABC274,A,,100,https://atcoder.jp/contests/abc274/tasks/abc274_a,abc274_a
AtCoder Beginner Contest,ABC273,A,,100,https://atcoder.jp/contests/abc273/tasks/abc273_a,abc273_a
AtCoder Beginner Contest,ABC272,A,,100,https://atcoder.jp/contests/abc272/tasks/abc272_a,abc272_a
AtCoder Beginner Contest,ABC271,A,,100,https://atcoder.jp/contests/abc271/tasks/abc271_a,abc271_a
AtCoder Beginner Contest,ABC270,A,,100,https://atcoder.jp/contests/abc270/tasks/abc270_a,abc270_a
AtCoder Beginner Contest,ABC269,A,,100,https://atcoder.jp/contests/abc269/tasks/abc269_a,abc269_a
AtCoder Beginner Contest,ABC268,A,,100,https://atcoder.jp/contests/abc268/tasks/abc268_a,abc268_a
AtCoder Beginner Contest,ABC267,A,,100,https://atcoder.jp/contests/abc267/tasks/abc267_a,abc267_a
AtCoder Beginner Contest,ABC266,A,,100,https://atcoder.jp/contests/abc266/tasks/abc266_a,abc266_a
AtCoder Beginner Contest,ABC265,A,,100,https://atcoder.jp/contests/abc265/tasks/abc265_a,abc265_a
AtCoder Beginner Contest,ABC264,A,,100,https://atcoder.jp/contests/abc264/tasks/abc264_a,abc264_a
AtCoder Beginner Contest,ABC263,A,,100,https://atcoder.jp/contests/abc263/tasks/abc263_a,abc263_a
AtCoder Beginner Contest,ABC262,A,,100,https://atcoder.jp/contests/abc262/tasks/abc262_a,abc262_a
AtCoder Beginner Contest,ABC261,A,,100,https://atcoder.jp/contests/abc261/tasks/abc261_a,abc261_a
AtCoder Beginner Contest,ABC260,A,,100,https://atcoder.jp/contests/abc260/tasks/abc260_a,abc260_a
AtCoder Beginner Contest,ABC259,A,,100,https://atcoder.jp/contests/abc259/tasks/abc259_a,abc259_a
AtCoder Beginner Contest,ABC258,A,,100,https://atcoder.jp/contests/abc258/tasks/abc258_a,abc258_a
AtCoder Beginner Contest,ABC257,A,,100,https://atcoder.jp/contests/abc257/tasks/abc257_a,abc257_a
AtCoder Beginner Contest,ABC256,A,,100,https://atcoder.jp/contests/abc256/tasks/abc256_a,abc256_a
AtCoder Beginner Contest,ABC255,A,,100,https://atcoder.jp/contests/abc255/tasks/abc255_a,abc255_a
AtCoder Beginner Contest,ABC254,A,,100,https://atcoder.jp/contests/abc254/tasks/abc254_a,abc254_a
AtCoder Beginner Contest,ABC253,A,,100,https://atcoder.jp/contests/abc253/tasks/abc253_a,abc253_a
AtCoder Beginner Contest,ABC252,A,,100,https://atcoder.jp/contests/abc252/tasks/abc252_a,abc252_a
AtCoder Beginner Contest,ABC251,A,,100,https://atcoder.jp/contests/abc251/tasks/abc251_a,abc251_a
AtCoder Beginner Contest,ABC250,A,,100,https://atcoder.jp/contests/abc250/tasks/abc250_a,abc250_a
AtCoder Beginner Contest,ABC249,A,,100,https://atcoder.jp/contests/abc249/tasks/abc249_a,abc249_a
AtCoder Beginner Contest,ABC248,A,,100,https://atcoder.jp/contests/abc248/tasks/abc248_a,abc248_a
AtCoder Beginner Contest,ABC247,A,,100,https://atcoder.jp/contests/abc247/tasks/abc247_a,abc247_a
AtCoder Beginner Contest,ABC246,A,,100,https://atcoder.jp/contests/abc246/tasks/abc246_a,abc246_a
AtCoder Beginner Contest,ABC245,A,,100,https://atcoder.jp/contests/abc245/tasks/abc245_a,abc245_a
AtCoder Beginner Contest,ABC244,A,,100,https://atcoder.jp/contests/abc244/tasks/abc244_a,abc244_a
AtCoder Beginner Contest,ABC243,A,,100,https://atcoder.jp/contests/abc243/tasks/abc243_a,abc243_a
AtCoder Beginner Contest,ABC242,A,,100,https://atcoder.jp/contests/abc242/tasks/abc242_a,abc242_a
AtCoder Beginner Contest,ABC241,A,,100,https://atcoder.jp/contests/abc241/tasks/abc241_a,abc241_a
AtCoder Beginner Contest,ABC240,A,,100,https://atcoder.jp/contests/abc240/tasks/abc240_a,abc240_a
AtCoder Beginner Contest,ABC239,A,,100,https://atcoder.jp/contests/abc239/tasks/abc239_a,abc239_a
AtCoder Beginner Contest,ABC238,A,,100,https://atcoder.jp/contests/abc238/tasks/abc238_a,abc238_a
AtCoder Beginner Contest,ABC237,A,,100,https://atcoder.jp/contests/abc237/tasks/abc237_a,abc237_a
AtCoder Beginner Contest,ABC236,A,,100,https://atcoder.jp/contests/abc236/tasks/abc236_a,abc236_a
AtCoder Beginner Contest,ABC235,A,,100,https://atcoder.jp/contests/abc235/tasks/abc235_a,abc235_a
AtCoder Beginner Contest,ABC234,A,,100,https://atcoder.jp/contests/abc234/tasks/abc234_a,abc234_a
AtCoder Beginner Contest,ABC233,A,,100,https://atcoder.jp/contests/abc233/tasks/abc233_a,abc233_a
AtCoder Beginner Contest,ABC232,A,,100,https://atcoder.jp/contests/abc232/tasks/abc232_a,abc232_a
AtCoder Beginner Contest,ABC231,A,,100,https://atcoder.jp/contests/abc231/tasks/abc231_a,abc231_a
AtCoder Beginner Contest,ABC230,A,,100,https://atcoder.jp/contests/abc230/tasks/abc230_a,abc230_a
AtCoder Beginner Contest,ABC229,A,,100,https://atcoder.jp/contests/abc229/tasks/abc229_a,abc229_a
AtCoder Beginner Contest,ABC228,A,,100,https://atcoder.jp/contests/abc228/tasks/abc228_a,abc228_a
AtCoder Beginner Contest,ABC227,A,,100,https://atcoder.jp/contests/abc227/tasks/abc227_a,abc227_a
AtCoder Beginner Contest,ABC226,A,,100,https://atcoder.jp/contests/abc226/tasks/abc226_a,abc226_a
AtCoder Beginner Contest,ABC225,A,,100,https://atcoder.jp/contests/abc225/tasks/abc225_a,abc225_a
AtCoder Beginner Contest,ABC224,A,,100,https://atcoder.jp/contests/abc224/tasks/abc224_a,abc224_a
AtCoder Beginner Contest,ABC223,A,,100,https://atcoder.jp/contests/abc223/tasks/abc223_a,abc223_a
AtCoder Beginner Contest,ABC222,A,,100,https://atcoder.jp/contests/abc222/tasks/abc222_a,abc222_a
AtCoder Beginner Contest,ABC221,A,,100,https://atcoder.jp/contests/abc221/tasks/abc221_a,abc221_a
AtCoder Beginner Contest,ABC220,A,,100,https://atcoder.jp/contests/abc220/tasks/abc220_a,abc220_a
AtCoder Beginner Contest,ABC219,A,,100,https://atcoder.jp/contests/abc219/tasks/abc219_a,abc219_a
AtCoder Beginner Contest,ABC218,A,,100,https://atcoder.jp/contests/abc218/tasks/abc218_a,abc218_a
AtCoder Beginner Contest,ABC217,A,,100,https://atcoder.jp/contests/abc217/tasks/abc217_a,abc217_a
AtCoder Beginner Contest,ABC216,A,,100,https://atcoder.jp/contests/abc216/tasks/abc216_a,abc216_a
AtCoder Beginner Contest,ABC215,A,,100,https://atcoder.jp/contests/abc215/tasks/abc215_a,abc215_a
AtCoder Beginner Contest,ABC214,A,,100,https://atcoder.jp/contests/abc214/tasks/abc214_a,abc214_a
AtCoder Beginner Contest,ABC213,A,,100,https://atcoder.jp/contests/abc213/tasks/abc213_a,abc213_a
AtCoder Beginner Contest,ABC212,A,,100,https://atcoder.jp/contests/abc212/tasks/abc212_a,abc212_a
AtCoder Beginner Contest,ABC211,A,,100,https://atcoder.jp/contests/abc211/tasks/abc211_a,abc211_a
AtCoder Beginner Contest,ABC210,A,,100,https://atcoder.jp/contests/abc210/tasks/abc210_a,abc210_a
AtCoder Beginner Contest,ABC209,A,,100,https://atcoder.jp/contests/abc209/tasks/abc209_a,abc209_a
AtCoder Beginner Contest,ABC208,A,,100,https://atcoder.jp/contests/abc208/tasks/abc208_a,abc208_a
AtCoder Beginner Contest,ABC207,A,,100,https://atcoder.jp/contests/abc207/tasks/abc207_a,abc207_a
AtCoder Beginner Contest,ABC206,A,,100,https://atcoder.jp/contests/abc206/tasks/abc206_a,abc206_a
AtCoder Beginner Contest,ABC205,A,,100,https://atcoder.jp/contests/abc205/tasks/abc205_a,abc205_a
AtCoder Beginner Contest,ABC204,A,,100,https://atcoder.jp/contests/abc204/tasks/abc204_a,abc204_a
AtCoder Beginner Contest,ABC203,A,,100,https://atcoder.jp/contests/abc203/tasks/abc203_a,abc203_a
AtCoder Beginner Contest,ABC202,A,,100,https://atcoder.jp/contests/abc202/tasks/abc202_a,abc202_a
AtCoder Beginner Contest,ABC201,A,,100,https://atcoder.jp/contests/abc201/tasks/abc201_a,abc201_a
AtCoder Beginner Contest,ABC200,A,,100,https://atcoder.jp/contests/abc200/tasks/abc200_a,abc200_a
AtCoder Beginner Contest,ABC199,A,,100,https://atcoder.jp/contests/abc199/tasks/abc199_a,abc199_a
AtCoder Beginner Contest,ABC198,A,,100,https://atcoder.jp/contests/abc198/tasks/abc198_a,abc198_a
AtCoder Beginner Contest,ABC197,A,,100,https://atcoder.jp/contests/abc197/tasks/abc197_a,abc197_a
AtCoder Beginner Contest,ABC196,A,,100,https://atcoder.jp/contests/abc196/tasks/abc196_a,abc196_a
AtCoder Beginner Contest,ABC195,A,,100,https://atcoder.jp/contests/abc195/tasks/abc195_a,abc195_a
AtCoder Beginner Contest,ABC194,A,,100,https://atcoder.jp/contests/abc194/tasks/abc194_a,abc194_a
AtCoder Beginner Contest,ABC193,A,,100,https://atcoder.jp/contests/abc193/tasks/abc193_a,abc193_a
AtCoder Beginner Contest,ABC192,A,,100,https://atcoder.jp/contests/abc192/tasks/abc192_a,abc192_a
AtCoder Beginner Contest,ABC191,A,,100,https://atcoder.jp/contests/abc191/tasks/abc191_a,abc191_a
AtCoder Beginner Contest,ABC190,A,,100,https://atcoder.jp/contests/abc190/tasks/abc190_a,abc190_a
AtCoder Beginner Contest,ABC189,A,,100,https://atcoder.jp/contests/abc189/tasks/abc189_a,abc189_a
AtCoder Beginner Contest,ABC188,A,,100,https://atcoder.jp/contests/abc188/tasks/abc188_a,abc188_a
AtCoder Beginner Contest,ABC187,A,,100,https://atcoder.jp/contests/abc187/tasks/abc187_a,abc187_a
AtCoder Beginner Contest,ABC186,A,,100,https://atcoder.jp/contests/abc186/tasks/abc186_a,abc186_a
AtCoder Beginner Contest,ABC185,A,,100,https://atcoder.jp/contests/abc185/tasks/abc185_a,abc185_a
AtCoder Beginner Contest,ABC184,A,,100,https://atcoder.jp/contests/abc184/tasks/abc184_a,abc184_a
AtCoder Beginner Contest,ABC183,A,,100,https://atcoder.jp/contests/abc183/tasks/abc183_a,abc183_a
AtCoder Beginner Contest,ABC182,A,,100,https://atcoder.jp/contests/abc182/tasks/abc182_a,abc182_a
AtCoder Beginner Contest,ABC181,A,,100,https://atcoder.jp/contests/abc181/tasks/abc181_a,abc181_a
AtCoder Beginner Contest,ABC180,A,,100,https://atcoder.jp/contests/abc180/tasks/abc180_a,abc180_a
AtCoder Beginner Contest,ABC179,A,,100,https://atcoder.jp/contests/abc179/tasks/abc179_a,abc179_a
AtCoder Beginner Contest,ABC178,A,,100,https://atcoder.jp/contests/abc178/tasks/abc178_a,abc178_a
